SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO
VERANDA,1983.0,Other Consumer Services,Consumer Services,Consumer Discretionary,0.0
KCP,1982.0,Cement & Cement Products,Construction Materials,Commodities,0.0
CANTABIL,1981.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
MOL,1971.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
MARATHON,1962.0,Realty,Realty,Consumer Discretionary,0.0
SJS,1952.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
THEMISMED,1943.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0.0
ARVSMART,1939.0,Realty,Realty,Consumer Discretionary,0.0
QUICKHEAL,1926.0,IT - Software,Information Technology,Information Technology,0.0
SMLISUZU,1915.0,Agricultural Commercial & Construction Vehicles,Capital Goods,Industrials,0.0
GNA,1914.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
DPSCLTD,1909.0,Power,Power,Utilities,0.0
SUBEXLTD,1908.0,IT - Software,Information Technology,Information Technology,0.0
RAMCOIND,1901.0,Other Construction Materials,Construction Materials,Commodities,0.0
SHAKTIPUMP,1901.0,Industrial Products,Capital Goods,Industrials,0.0
JASH,1878.0,Industrial Manufacturing,Capital Goods,Industrials,0.0
GEOJITFSL,1878.0,Capital Markets,Financial Services,Financial Services,0.0
YASHO,1861.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
MUFTI,1859.0,Retailing,Consumer Services,Consumer Discretionary,0.0
BUTTERFLY,1857.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
TALBROAUTO,1840.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
CAPACITE,1839.0,Construction,Construction,Industrials,0.0
RANEHOLDIN,1830.0,Finance,Financial Services,Financial Services,0.0
GOKULAGRO,1826.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
GOLDIAM,1823.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
NITINSPIN,1822.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
NELCO,1816.0,IT - Hardware,Information Technology,Information Technology,0.0
VADILALIND,1804.0,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
MADRASFERT,1783.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
HLVLTD,1780.0,Leisure Services,Consumer Services,Consumer Discretionary,0.0
VSSL,1773.0,Industrial Products,Capital Goods,Industrials,0.0
ROSSELLIND,1772.0,Aerospace & Defense,Capital Goods,Industrials,0.0
RAMASTEEL,1771.0,Industrial Products,Capital Goods,Industrials,0.0
SUVEN,1760.0,Healthcare Services,Healthcare,Healthcare,0.0
5PAISA,1760.0,Capital Markets,Financial Services,Financial Services,0.0
UNITECH,1753.0,Realty,Realty,Consumer Discretionary,0.0
PNBGILTS,1751.0,Finance,Financial Services,Financial Services,0.0
PIXTRANS,1747.0,Industrial Products,Capital Goods,Industrials,0.0
CENTUM,1740.0,Industrial Manufacturing,Capital Goods,Industrials,0.0
